epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.1993,2.02665,3.1179,1.73169,0.00833,0.5,0.10365,0.05581,2.3355,2.92026,1.69382,0,0,0
2,16.5204,1.71413,3.18275,1.69211,0.00833,0.5,0.28713,0.20108,1.87391,2.78043,1.48173,1.9604e-05,1.9604e-05,1.9604e-05
3,23.519,1.65758,3.03126,1.56839,0.01,0.6,0.3812,0.25805,1.47811,2.70597,1.23488,3.8416e-05,3.8416e-05,3.8416e-05
4,30.1347,1.40864,2.91039,1.39695,0.01167,0.7,0.40395,0.27545,1.2425,2.71888,1.156,5.6436e-05,5.6436e-05,5.6436e-05
5,37.6231,1.13053,2.7989,1.24864,0.01167,0.7,0.57049,0.336,1.34553,2.67215,1.09526,7.3664e-05,7.3664e-05,7.3664e-05
6,43.9105,1.11015,2.63564,1.20701,0.01333,0.8,0.60555,0.35547,1.21905,2.58674,1.03861,9.01e-05,9.01e-05,9.01e-05
7,50.1414,1.10127,2.46605,1.1874,0.01167,0.7,0.57967,0.33604,1.16197,2.54172,1.02771,0.000105744,0.000105744,0.000105744
8,56.5916,0.92625,2.18235,1.05566,0.01167,0.7,0.59681,0.36605,1.30017,2.45907,1.16843,0.000120596,0.000120596,0.000120596
9,62.9778,1.05469,2.2414,1.10514,0.01167,0.7,0.59014,0.37909,1.31072,2.39286,1.17366,0.000134656,0.000134656,0.000134656
10,69.3344,1.00783,2.04111,1.10235,0.01167,0.7,0.63431,0.40561,1.28968,2.33012,1.18356,0.000147924,0.000147924,0.000147924
11,75.595,0.86284,1.66946,1.03288,0.55636,0.7,0.61014,0.41559,1.26831,2.2621,1.14353,0.0001604,0.0001604,0.0001604
12,81.8567,0.86509,1.54845,0.96694,0.80219,0.40657,0.61903,0.39669,1.33877,2.11972,1.22418,0.000172084,0.000172084,0.000172084
13,88.0725,0.79247,1.47623,1.03282,0.81589,0.44767,0.64681,0.39205,1.35517,2.01989,1.24371,0.000182976,0.000182976,0.000182976
14,94.3369,0.67524,1.23005,0.9599,0.85186,0.57783,0.64681,0.38848,1.40288,1.93218,1.28758,0.000193076,0.000193076,0.000193076
15,100.599,0.72542,1.09298,1.00713,0.8636,0.63617,0.64848,0.37823,1.37216,1.87056,1.24496,0.000202384,0.000202384,0.000202384
16,106.807,0.78564,1.21825,1.03965,0.72633,0.5,0.61024,0.35642,1.34534,1.8308,1.22627,0.0002109,0.0002109,0.0002109
17,112.972,0.75106,1.277,1.00145,0.78098,0.5,0.60406,0.38134,1.36843,1.8541,1.21275,0.000218624,0.000218624,0.000218624
18,119.091,0.70228,0.97958,0.96289,0.78098,0.5,0.60406,0.38134,1.36843,1.8541,1.21275,0.000225556,0.000225556,0.000225556
19,125.404,0.74188,0.98278,0.93815,0.78305,0.5,0.57681,0.38531,1.43931,1.87957,1.2242,0.000231696,0.000231696,0.000231696
20,131.605,0.61243,0.92728,0.96577,0.78305,0.5,0.57681,0.38531,1.43931,1.87957,1.2242,0.000237044,0.000237044,0.000237044
21,137.789,0.72549,0.9803,0.94613,0.74788,0.5,0.61903,0.38127,1.43792,1.91749,1.21902,0.0002416,0.0002416,0.0002416
22,143.918,0.68203,0.95242,0.95221,0.74788,0.5,0.61903,0.38127,1.43792,1.91749,1.21902,0.000245364,0.000245364,0.000245364
23,150.189,0.65917,0.94981,0.90199,0.84794,0.56134,0.64681,0.40347,1.38357,1.92805,1.13276,0.000248336,0.000248336,0.000248336
24,156.394,0.77206,0.94989,0.95919,0.84794,0.56134,0.64681,0.40347,1.38357,1.92805,1.13276,0.000250516,0.000250516,0.000250516
25,162.773,0.79253,0.98852,0.96904,0.84678,0.55647,0.64681,0.45087,1.36929,1.9405,1.12438,0.000251904,0.000251904,0.000251904
26,169.511,0.76339,1.01818,0.97208,0.84678,0.55647,0.64681,0.45087,1.36929,1.9405,1.12438,0.0002525,0.0002525,0.0002525
27,175.814,0.74495,0.96061,0.96778,0.77119,0.5,0.59075,0.42954,1.31795,1.92725,1.12838,0.000252304,0.000252304,0.000252304
28,181.951,0.86653,0.96366,0.96012,0.77119,0.5,0.59075,0.42954,1.31795,1.92725,1.12838,0.000251316,0.000251316,0.000251316
29,188.232,0.68463,0.87105,0.91604,0.77231,0.5,0.60348,0.43775,1.24065,1.91503,1.1083,0.000249536,0.000249536,0.000249536
30,194.455,0.76727,0.93502,0.91558,0.77231,0.5,0.60348,0.43775,1.24065,1.91503,1.1083,0.000246964,0.000246964,0.000246964
31,200.68,0.72401,0.88625,0.95309,0.77366,0.5,0.60848,0.43632,1.20401,1.92338,1.12023,0.0002436,0.0002436,0.0002436
32,206.874,0.65785,0.81944,0.89775,0.77366,0.5,0.60848,0.43632,1.20401,1.92338,1.12023,0.000239444,0.000239444,0.000239444
33,213.179,0.66208,0.86722,0.94664,0.84508,0.54935,0.64681,0.45755,1.19489,1.92,1.10446,0.000234496,0.000234496,0.000234496
34,219.472,0.6551,0.78423,0.92597,0.84508,0.54935,0.64681,0.45755,1.19489,1.92,1.10446,0.000228756,0.000228756,0.000228756
35,226.125,0.7118,0.92796,0.94393,0.84859,0.56407,0.64681,0.48602,1.19401,1.83799,1.10083,0.000222224,0.000222224,0.000222224
36,232.388,0.72146,0.90188,0.94249,0.84859,0.56407,0.64681,0.48602,1.19401,1.83799,1.10083,0.0002149,0.0002149,0.0002149
37,238.71,0.86006,1.01676,1.0311,0.85414,0.5874,0.64681,0.47495,1.22375,1.80486,1.1071,0.000206784,0.000206784,0.000206784
38,244.954,0.63616,0.85654,0.89457,0.85414,0.5874,0.64681,0.47495,1.22375,1.80486,1.1071,0.000197876,0.000197876,0.000197876
39,251.279,0.58962,0.83965,0.91611,0.87454,0.7,0.64681,0.46402,1.23989,1.7897,1.11985,0.000188176,0.000188176,0.000188176
40,257.489,0.66192,0.88921,0.93308,0.87454,0.7,0.64681,0.46402,1.23989,1.7897,1.11985,0.000177684,0.000177684,0.000177684
41,263.643,0.70382,1.12964,0.94848,0.85676,0.7,0.64681,0.45864,1.22991,1.76246,1.11654,0.0001664,0.0001664,0.0001664
42,269.769,0.64321,1.05655,0.89098,0.85676,0.7,0.64681,0.45864,1.22991,1.76246,1.11654,0.000154324,0.000154324,0.000154324
43,276.027,0.61323,0.96722,0.88703,0.86829,0.7,0.65931,0.46747,1.20715,1.74679,1.11349,0.000141456,0.000141456,0.000141456
44,282.236,0.6525,0.98962,0.90921,0.86829,0.7,0.65931,0.46747,1.20715,1.74679,1.11349,0.000127796,0.000127796,0.000127796
45,288.725,0.57259,0.86163,0.90943,0.855,0.591,0.65931,0.4819,1.1819,1.75651,1.11799,0.000113344,0.000113344,0.000113344
46,294.999,0.50989,0.8527,0.86396,0.855,0.591,0.65931,0.4819,1.1819,1.75651,1.11799,9.81e-05,9.81e-05,9.81e-05
47,301.098,0.54667,0.86502,0.98,0.84926,0.56688,0.65931,0.4669,1.1457,1.76873,1.12219,8.2064e-05,8.2064e-05,8.2064e-05
48,307.204,0.54347,0.85527,0.90112,0.84926,0.56688,0.65931,0.4669,1.1457,1.76873,1.12219,6.5236e-05,6.5236e-05,6.5236e-05
49,313.371,0.57023,0.89985,0.87144,0.84611,0.55368,0.65931,0.4669,1.13531,1.75667,1.11471,4.7616e-05,4.7616e-05,4.7616e-05
50,319.461,0.54596,0.82856,0.91578,0.84611,0.55368,0.65931,0.4669,1.13531,1.75667,1.11471,2.9204e-05,2.9204e-05,2.9204e-05
